;ACC04;MGLU3;1;9377;9377;9377;17.68;165785.36;165785.36;165785.36;
;ACC06;MGLU3;1;6336;6336;6336;10.83;68618.88;68618.88;68618.88;
;ACC01;ITUB4;2;9073;9073;9073;18.52;168031.96;168031.96;168031.96;
;ACC08;ITUB4;1;7662;7662;7662;19.89;152397.18;152397.18;152397.18;
;ACC02;WEGE3;1;8170;8170;8170;15.96;130393.20;130393.20;130393.20;
;ACC07;MGLU3;1;3593;3593;3593;15.79;56733.47;56733.47;56733.47;
;ACC08;MGLU3;2;1507;1507;1507;12.85;19364.95;19364.95;19364.95;
;ACC10;B3SA3;2;2403;2403;2403;19.20;46137.60;46137.60;46137.60;
;ACC02;WEGE3;2;5241;5241;5241;10.01;52462.41;52462.41;52462.41;
;ACC09;WEGE3;2;6394;6394;6394;16.37;104669.78;104669.78;104669.78;
;ACC10;ITUB4;1;5970;5970;5970;18.51;110504.70;110504.70;110504.70;
;ACC07;WEGE3;2;1181;1181;1181;18.95;22379.95;22379.95;22379.95;
;ACC08;WEGE3;1;2606;2606;2606;19.03;49592.18;49592.18;49592.18;
;ACC10;PETR4;1;5111;5111;5111;17.90;91486.90;91486.90;91486.90;
;ACC03;ABEV3;2;8077;8077;8077;17.51;141428.27;141428.27;141428.27;
;ACC05;WEGE3;2;5907;5907;5907;12.44;73483.08;73483.08;73483.08;
;ACC07;BBDC4;1;5923;5923;5923;19.82;117393.86;117393.86;117393.86;
;ACC01;BBAS3;1;5210;5210;5210;13.71;71429.10;71429.10;71429.10;
;ACC05;VALE3;1;8714;8714;8714;12.95;112846.30;112846.30;112846.30;
;ACC06;BBAS3;2;5029;5029;5029;16.88;84889.52;84889.52;84889.52;
;ACC07;WEGE3;2;6228;6228;6228;17.17;106934.76;106934.76;106934.76;
;ACC05;WEGE3;2;8489;8489;8489;13.80;117148.20;117148.20;117148.20;
;ACC07;VALE3;1;9317;9317;9317;17.78;165656.26;165656.26;165656.26;
;ACC03;MGLU3;2;6613;6613;6613;12.87;85109.31;85109.31;85109.31;
;ACC06;PETR4;2;9442;9442;9442;15.54;146728.68;146728.68;146728.68;
;ACC03;ABEV3;2;1070;1070;1070;11.31;12101.70;12101.70;12101.70;
;ACC10;VALE3;1;7378;7378;7378;14.77;108973.06;108973.06;108973.06;
;ACC05;BBAS3;1;8301;8301;8301;18.86;156556.86;156556.86;156556.86;
;ACC01;PETR4;2;6146;6146;6146;18.22;111980.12;111980.12;111980.12;
;ACC05;VALE3;1;7282;7282;7282;14.49;105516.18;105516.18;105516.18;
;ACC08;ITUB4;2;6592;6592;6592;12.27;80883.84;80883.84;80883.84;
;ACC08;MGLU3;1;5880;5880;5880;17.24;101371.20;101371.20;101371.20;
;ACC10;WEGE3;2;5685;5685;5685;15.63;88856.55;88856.55;88856.55;
;ACC10;BBAS3;1;5178;5178;5178;10.49;54317.22;54317.22;54317.22;
;ACC01;PETR4;2;3427;3427;3427;16.14;55311.78;55311.78;55311.78;
;ACC10;BBDC4;2;1038;1038;1038;15.67;16265.46;16265.46;16265.46;
;ACC10;ABEV3;2;8660;8660;8660;18.00;155880.00;155880.00;155880.00;
;ACC02;WEGE3;2;4195;4195;4195;16.51;69259.45;69259.45;69259.45;
;ACC08;BBDC4;1;3860;3860;3860;18.66;72027.60;72027.60;72027.60;
;ACC10;PETR4;2;3855;3855;3855;10.04;38704.20;38704.20;38704.20;
;ACC07;BBAS3;1;2403;2403;2403;11.99;28811.97;28811.97;28811.97;
;ACC09;LREN3;1;9169;9169;9169;17.35;159082.15;159082.15;159082.15;
;ACC03;B3SA3;2;9504;9504;9504;14.29;135812.16;135812.16;135812.16;
;ACC05;ABEV3;2;1018;1018;1018;14.47;14730.46;14730.46;14730.46;
;ACC03;VALE3;1;8670;8670;8670;10.79;93549.30;93549.30;93549.30;
;ACC05;VALE3;2;9898;9898;9898;11.50;113827.00;113827.00;113827.00;
;ACC08;BBDC4;2;8091;8091;8091;16.22;131236.02;131236.02;131236.02;
;ACC05;WEGE3;2;8949;8949;8949;15.28;136740.72;136740.72;136740.72;
;ACC09;WEGE3;2;7956;7956;7956;18.26;145276.56;145276.56;145276.56;
;ACC03;ABEV3;1;4473;4473;4473;11.80;52781.40;52781.40;52781.40;
;ACC09;B3SA3;1;5008;5008;5008;17.06;85436.48;85436.48;85436.48;
;ACC08;VALE3;1;1676;1676;1676;10.67;17882.92;17882.92;17882.92;
;ACC06;BBDC4;1;3294;3294;3294;12.47;41076.18;41076.18;41076.18;
;ACC04;VALE3;1;7470;7470;7470;18.36;137149.20;137149.20;137149.20;
;ACC10;LREN3;1;4750;4750;4750;18.08;85880.00;85880.00;85880.00;
;ACC07;BBAS3;2;1551;1551;1551;16.72;25932.72;25932.72;25932.72;
;ACC01;LREN3;2;7227;7227;7227;12.55;90698.85;90698.85;90698.85;
;ACC10;PETR4;1;4914;4914;4914;19.37;95184.18;95184.18;95184.18;
;ACC03;MGLU3;2;4345;4345;4345;11.79;51227.55;51227.55;51227.55;
;ACC03;BBDC4;1;7949;7949;7949;13.02;103495.98;103495.98;103495.98;
;ACC07;WEGE3;2;7939;7939;7939;15.39;122181.21;122181.21;122181.21;
;ACC07;MGLU3;2;9239;9239;9239;19.70;182008.30;182008.30;182008.30;
;ACC02;LREN3;2;4188;4188;4188;18.25;76431.00;76431.00;76431.00;
;ACC01;PETR4;2;9445;9445;9445;14.63;138180.35;138180.35;138180.35;
;ACC05;VALE3;2;4534;4534;4534;19.03;86282.02;86282.02;86282.02;
;ACC07;LREN3;1;1158;1158;1158;12.04;13942.32;13942.32;13942.32;
;ACC03;ITUB4;1;9607;9607;9607;10.62;102026.34;102026.34;102026.34;
;ACC10;PETR4;2;2859;2859;2859;18.84;53863.56;53863.56;53863.56;
;ACC06;MGLU3;2;6233;6233;6233;16.72;104215.76;104215.76;104215.76;
;ACC05;MGLU3;2;7553;7553;7553;13.79;104155.87;104155.87;104155.87;
;ACC05;BBDC4;2;3641;3641;3641;17.35;63171.35;63171.35;63171.35;
;ACC05;LREN3;2;4264;4264;4264;18.64;79480.96;79480.96;79480.96;
;ACC02;BBAS3;1;5285;5285;5285;15.85;83767.25;83767.25;83767.25;
;ACC08;B3SA3;2;4248;4248;4248;16.86;71621.28;71621.28;71621.28;
;ACC03;MGLU3;1;8300;8300;8300;15.84;131472.00;131472.00;131472.00;
;ACC07;PETR4;1;7738;7738;7738;16.17;125123.46;125123.46;125123.46;
;ACC05;ITUB4;1;2275;2275;2275;17.90;40722.50;40722.50;40722.50;
;ACC08;PETR4;1;2425;2425;2425;11.22;27208.50;27208.50;27208.50;
;ACC04;VALE3;1;2344;2344;2344;15.56;36472.64;36472.64;36472.64;
;ACC04;BBDC4;2;9076;9076;9076;16.71;151659.96;151659.96;151659.96;
;ACC10;BBDC4;2;2855;2855;2855;17.94;51218.70;51218.70;51218.70;
;ACC06;WEGE3;2;4375;4375;4375;15.83;69256.25;69256.25;69256.25;
;ACC03;WEGE3;1;2430;2430;2430;10.27;24956.10;24956.10;24956.10;
;ACC10;BBDC4;2;4383;4383;4383;13.86;60748.38;60748.38;60748.38;
;ACC10;BBAS3;1;2384;2384;2384;12.26;29227.84;29227.84;29227.84;
;ACC04;ABEV3;1;1165;1165;1165;19.85;23125.25;23125.25;23125.25;
;ACC08;VALE3;2;5434;5434;5434;11.85;64392.90;64392.90;64392.90;
;ACC06;PETR4;2;7877;7877;7877;10.96;86331.92;86331.92;86331.92;
;ACC05;LREN3;2;1905;1905;1905;13.78;26250.90;26250.90;26250.90;
;ACC03;BBDC4;2;7443;7443;7443;17.57;130773.51;130773.51;130773.51;
;ACC09;BBAS3;2;1068;1068;1068;19.82;21167.76;21167.76;21167.76;
;ACC05;LREN3;2;2638;2638;2638;19.78;52179.64;52179.64;52179.64;
;ACC10;BBAS3;1;3904;3904;3904;10.74;41928.96;41928.96;41928.96;
;ACC07;MGLU3;1;3214;3214;3214;13.47;43292.58;43292.58;43292.58;
;ACC02;ITUB4;2;4261;4261;4261;15.21;64809.81;64809.81;64809.81;
;ACC08;B3SA3;2;7732;7732;7732;11.23;86830.36;86830.36;86830.36;
;ACC01;B3SA3;1;7656;7656;7656;12.75;97614.00;97614.00;97614.00;
;ACC09;ITUB4;1;5086;5086;5086;10.52;53504.72;53504.72;53504.72;
;ACC05;WEGE3;1;5826;5826;5826;18.84;109761.84;109761.84;109761.84;
;ACC07;VALE3;1;6114;6114;6114;11.07;67681.98;67681.98;67681.98;
;ACC05;VALE3;1;8988;8988;8988;10.04;90239.52;90239.52;90239.52;
;ACC09;BBAS3;1;3239;3239;3239;15.62;50593.18;50593.18;50593.18;
;ACC08;BBAS3;1;6371;6371;6371;19.00;121049.00;121049.00;121049.00;
;ACC01;PETR4;1;7289;7289;7289;10.85;79085.65;79085.65;79085.65;
;ACC05;MGLU3;2;2367;2367;2367;14.39;34061.13;34061.13;34061.13;
;ACC08;VALE3;2;4521;4521;4521;12.19;55110.99;55110.99;55110.99;
;ACC10;WEGE3;1;7835;7835;7835;14.39;112745.65;112745.65;112745.65;
;ACC10;WEGE3;1;6275;6275;6275;11.56;72539.00;72539.00;72539.00;
;ACC01;VALE3;1;7180;7180;7180;10.62;76251.60;76251.60;76251.60;
;ACC06;BBAS3;1;2137;2137;2137;11.44;24447.28;24447.28;24447.28;
;ACC03;WEGE3;1;3884;3884;3884;18.65;72436.60;72436.60;72436.60;
;ACC06;BBDC4;1;2529;2529;2529;10.38;26251.02;26251.02;26251.02;
;ACC08;MGLU3;2;3190;3190;3190;13.28;42363.20;42363.20;42363.20;
;ACC10;BBAS3;1;7860;7860;7860;15.40;121044.00;121044.00;121044.00;
;ACC02;PETR4;2;5806;5806;5806;15.57;90399.42;90399.42;90399.42;
;ACC04;BBAS3;2;2704;2704;2704;13.07;35341.28;35341.28;35341.28;
;ACC06;ITUB4;1;1398;1398;1398;13.41;18747.18;18747.18;18747.18;
;ACC01;WEGE3;1;2103;2103;2103;16.75;35225.25;35225.25;35225.25;
;ACC09;ABEV3;1;9797;9797;9797;16.71;163707.87;163707.87;163707.87;
;ACC04;BBDC4;2;5715;5715;5715;10.38;59321.70;59321.70;59321.70;
;ACC10;ITUB4;1;8108;8108;8108;19.88;161187.04;161187.04;161187.04;
;ACC06;ABEV3;2;6722;6722;6722;18.42;123819.24;123819.24;123819.24;
;ACC04;VALE3;2;7948;7948;7948;16.44;130665.12;130665.12;130665.12;
;ACC07;B3SA3;2;8905;8905;8905;14.20;126451.00;126451.00;126451.00;
;ACC05;BBDC4;1;3104;3104;3104;10.87;33740.48;33740.48;33740.48;
;ACC10;MGLU3;2;8922;8922;8922;14.11;125889.42;125889.42;125889.42;
;ACC10;BBDC4;2;1175;1175;1175;12.55;14746.25;14746.25;14746.25;
;ACC10;MGLU3;2;8905;8905;8905;15.34;136602.70;136602.70;136602.70;
;ACC09;ABEV3;2;4665;4665;4665;10.21;47629.65;47629.65;47629.65;
;ACC01;B3SA3;1;3480;3480;3480;15.23;53000.40;53000.40;53000.40;
;ACC01;ITUB4;1;1229;1229;1229;12.22;15018.38;15018.38;15018.38;
;ACC04;LREN3;1;9736;9736;9736;14.91;145163.76;145163.76;145163.76;
;ACC09;MGLU3;2;6169;6169;6169;19.73;121714.37;121714.37;121714.37;
;ACC08;ITUB4;1;4975;4975;4975;19.81;98554.75;98554.75;98554.75;
;ACC02;B3SA3;2;2927;2927;2927;14.25;41709.75;41709.75;41709.75;
;ACC10;B3SA3;2;7387;7387;7387;18.08;133556.96;133556.96;133556.96;
;ACC09;MGLU3;2;2627;2627;2627;16.46;43240.42;43240.42;43240.42;
;ACC06;ABEV3;2;2315;2315;2315;19.81;45860.15;45860.15;45860.15;
;ACC04;LREN3;2;8672;8672;8672;17.06;147944.32;147944.32;147944.32;
;ACC07;B3SA3;1;7504;7504;7504;10.75;80668.00;80668.00;80668.00;
;ACC07;B3SA3;1;2954;2954;2954;11.22;33143.88;33143.88;33143.88;
;ACC09;PETR4;1;8396;8396;8396;17.03;142983.88;142983.88;142983.88;
;ACC04;VALE3;2;9409;9409;9409;10.60;99735.40;99735.40;99735.40;
;ACC08;ITUB4;1;4360;4360;4360;18.25;79570.00;79570.00;79570.00;
;ACC09;B3SA3;2;1167;1167;1167;17.63;20574.21;20574.21;20574.21;
;ACC07;VALE3;2;2792;2792;2792;15.73;43918.16;43918.16;43918.16;
;ACC08;B3SA3;2;1569;1569;1569;18.12;28430.28;28430.28;28430.28;
;ACC02;PETR4;1;4159;4159;4159;14.89;61927.51;61927.51;61927.51;
;ACC05;ITUB4;1;3430;3430;3430;10.42;35740.60;35740.60;35740.60;
;ACC09;MGLU3;1;3376;3376;3376;11.73;39600.48;39600.48;39600.48;
