8=FIX.4.4|9=197|35=8|34=0|49=SYSTEM|52=20250429-14:56:50.783|56=DROPCOPY|1=ACC04|6=17.68|11=edcb7bfc-c|14=9377|31=17.68|32=9377|37=8546a635-9|38=9377|39=2|54=1|55=MGLU3|60=20250429-14:56:50.783|150=F|5149=TRADER1|10=117|
8=FIX.4.4|9=197|35=8|34=1|49=SYSTEM|52=20250429-14:56:50.823|56=DROPCOPY|1=ACC06|6=10.83|11=d4a94b66-3|14=6336|31=10.83|32=6336|37=da210af3-8|38=6336|39=2|54=1|55=MGLU3|60=20250429-14:56:50.823|150=F|5149=TRADER5|10=213|
8=FIX.4.4|9=197|35=8|34=2|49=SYSTEM|52=20250429-14:56:50.823|56=DROPCOPY|1=ACC01|6=18.52|11=e8e0cffc-3|14=9073|31=18.52|32=9073|37=44ecfaeb-6|38=9073|39=2|54=2|55=ITUB4|60=20250429-14:56:50.823|150=F|5149=TRADER4|10=214|
8=FIX.4.4|9=197|35=8|34=3|49=SYSTEM|52=20250429-14:56:50.823|56=DROPCOPY|1=ACC08|6=19.89|11=b30978e5-a|14=7662|31=19.89|32=7662|37=c4816bfb-1|38=7662|39=2|54=1|55=ITUB4|60=20250429-14:56:50.823|150=F|5149=TRADER5|10=008|
8=FIX.4.4|9=197|35=8|34=4|49=SYSTEM|52=20250429-14:56:50.823|56=DROPCOPY|1=ACC02|6=15.96|11=3a704509-8|14=8170|31=15.96|32=8170|37=f2e34849-e|38=8170|39=2|54=1|55=WEGE3|60=20250429-14:56:50.823|150=F|5149=TRADER2|10=082|
8=FIX.4.4|9=197|35=8|34=5|49=SYSTEM|52=20250429-14:56:50.824|56=DROPCOPY|1=ACC07|6=15.79|11=19daf841-f|14=3593|31=15.79|32=3593|37=f4906b3c-d|38=3593|39=2|54=1|55=MGLU3|60=20250429-14:56:50.824|150=F|5149=TRADER4|10=049|
8=FIX.4.4|9=197|35=8|34=6|49=SYSTEM|52=20250429-14:56:50.824|56=DROPCOPY|1=ACC08|6=12.85|11=34d8e1ba-d|14=1507|31=12.85|32=1507|37=5de0b3fc-0|38=1507|39=2|54=2|55=MGLU3|60=20250429-14:56:50.824|150=F|5149=TRADER2|10=096|
8=FIX.4.4|9=197|35=8|34=7|49=SYSTEM|52=20250429-14:56:50.824|56=DROPCOPY|1=ACC10|6=19.20|11=e2dc4b6c-a|14=2403|31=19.20|32=2403|37=96e8dbe0-5|38=2403|39=2|54=2|55=B3SA3|60=20250429-14:56:50.824|150=F|5149=TRADER5|10=043|
8=FIX.4.4|9=197|35=8|34=8|49=SYSTEM|52=20250429-14:56:50.824|56=DROPCOPY|1=ACC02|6=10.01|11=bbaea4d7-1|14=5241|31=10.01|32=5241|37=2ab8f642-b|38=5241|39=2|54=2|55=WEGE3|60=20250429-14:56:50.824|150=F|5149=TRADER3|10=049|
8=FIX.4.4|9=197|35=8|34=9|49=SYSTEM|52=20250429-14:56:50.824|56=DROPCOPY|1=ACC09|6=16.37|11=ebc79854-2|14=6394|31=16.37|32=6394|37=caaa0b56-7|38=6394|39=2|54=2|55=WEGE3|60=20250429-14:56:50.824|150=F|5149=TRADER2|10=031|
